year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Alibori,BJ01,694204,700304,1394508,140174,120665,85670,76150,64722,52951,41179,29825,24391,16708,15033,8022,6993,4388,3918,1731,1684,141752,119676,87524,70219,61636,52906,40998,30168,25020,19973,17259,9529,8840,5857,4973,2348,1626,281926,240341,173194,146369,126358,105857,82177,59993,49411,36681,32292,17551,15833,10245,8891,4079,3310
2024,BEN,Benin,BJ,Atacora,BJ02,528828,520300,1049128,100736,86715,64117,52468,45771,36364,32336,23535,22106,17360,15609,8558,8316,6146,4686,2256,1749,103911,90626,68967,52312,44302,34510,28273,20536,18253,14854,14043,8165,7184,5976,4467,2411,1510,204647,177341,133084,104780,90073,70874,60609,44071,40359,32214,29652,16723,15500,12122,9153,4667,3259
2024,BEN,Benin,BJ,Atlantique,BJ03,1225865,1210300,2436165,203304,161823,145911,120650,118836,105216,86156,73237,55852,51505,35488,22567,16196,12059,7378,5338,4349,212814,164813,140519,120435,126154,104991,80960,66394,51182,48685,34205,21601,14818,10461,5855,3424,2989,416118,326636,286430,241085,244990,210207,167116,139631,107034,100190,69693,44168,31014,22520,13233,8762,7338
2024,BEN,Benin,BJ,Borgou,BJ04,982878,1002482,1985360,196268,160155,119230,108145,95278,74025,59967,42307,35679,27904,22202,12373,10634,7173,5687,3275,2576,200184,159654,122817,104582,98534,77040,59608,42362,35163,29147,24726,14777,12441,8533,6992,3580,2342,396452,319809,242047,212727,193812,151065,119575,84669,70842,57051,46928,27150,23075,15706,12679,6855,4918
2024,BEN,Benin,BJ,Collines,BJ05,468328,462023,930351,75307,67749,61895,51324,42141,34365,29381,24750,20318,17128,13480,8163,7277,6447,4075,2829,1699,79312,69943,65243,57100,43914,32946,25194,20237,17191,14588,11530,6744,6142,5293,3220,2160,1266,154619,137692,127138,108424,86055,67311,54575,44987,37509,31716,25010,14907,13419,11740,7295,4989,2965
2024,BEN,Benin,BJ,Couffo,BJ06,541087,480857,1021944,86737,87554,72835,59410,44992,40256,32473,30100,23398,19761,15099,6990,8277,5329,3685,1937,2254,87167,85421,71669,62352,41112,31541,21851,19176,15721,13161,11302,4863,6260,3810,2690,1353,1408,173904,172975,144504,121762,86104,71797,54324,49276,39119,32922,26401,11853,14537,9139,6375,3290,3662
2024,BEN,Benin,BJ,Donga,BJ07,406934,410903,817837,69541,62580,47951,40638,38339,32180,27047,21092,17423,14626,10986,6729,5802,5006,3375,2047,1572,73167,66680,54378,44491,37345,30937,23349,17703,14713,13551,10938,6162,5479,5118,3256,2266,1370,142708,129260,102329,85129,75684,63117,50396,38795,32136,28177,21924,12891,11281,10124,6631,4313,2942
2024,BEN,Benin,BJ,Littoral,BJ08,341684,323525,665209,47111,37305,36838,34533,35913,31778,27106,21589,17195,16610,11433,9264,5145,4889,2277,1967,731,50157,36278,30183,29106,37332,34134,27268,20586,15869,15120,9626,6827,3989,3828,1605,1262,355,97268,73583,67021,63639,73245,65912,54374,42175,33064,31730,21059,16091,9134,8717,3882,3229,1086
2024,BEN,Benin,BJ,Mono,BJ09,338394,323902,662296,52239,47292,42256,34940,29032,23889,20418,18932,15951,15302,11624,7229,5992,5271,3724,2399,1904,52923,49089,44694,39608,31290,22726,16975,14599,12211,11928,8985,5198,4629,3804,2585,1569,1089,105162,96381,86950,74548,60322,46615,37393,33531,28162,27230,20609,12427,10621,9075,6309,3968,2993
2024,BEN,Benin,BJ,Oueme,BJ10,835123,808142,1643265,138166,111689,99672,80368,77579,71435,56999,47922,37294,34709,26372,17537,12432,10487,5591,4066,2805,145182,114728,97607,82053,75870,66843,53085,42134,32882,30363,23621,15362,11854,8624,4058,2515,1361,283348,226417,197279,162421,153449,138278,110084,90056,70176,65072,49993,32899,24286,19111,9649,6581,4166
2024,BEN,Benin,BJ,Plateau,BJ11,471725,445432,917157,76199,67138,57875,44731,42523,38429,31391,26424,20843,18866,14101,9499,7646,7373,4164,2902,1621,79115,69407,59278,47040,39507,34444,26750,21154,17013,15334,11739,7068,6111,5427,3063,1974,1008,155314,136545,117153,91771,82030,72873,58141,47578,37856,34200,25840,16567,13757,12800,7227,4876,2629
2024,BEN,Benin,BJ,Zou,BJ12,608744,565088,1173832,98610,86435,78459,62045,53148,44764,38564,34034,26518,23773,19076,11216,11114,8199,6277,3739,2773,100251,86188,78710,63833,49503,39953,32456,26471,21116,18884,15005,8700,8508,6197,4793,2856,1664,198861,172623,157169,125878,102651,84717,71020,60505,47634,42657,34081,19916,19622,14396,11070,6595,4437
