year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,BEN,Benin,BJ,Alibori,BJ01,Banikoara,BJ0101,191659,192724,384383,37497,33952,23745,21508,17943,14717,10991,8261,6291,4404,4124,2368,2061,1317,1175,668,637,37997,33130,25023,20028,17225,15072,11033,8335,6312,5150,4148,2568,2312,1534,1455,768,634,75494,67082,48768,41536,35168,29789,22024,16596,12603,9554,8272,4936,4373,2851,2630,1436,1271
2024,BEN,Benin,BJ,Alibori,BJ01,Gogounou,BJ0102,83434,82804,166238,17255,14348,10385,9460,7421,6155,4902,3568,2876,1938,1812,958,879,541,539,196,201,17421,14463,10520,8310,7033,6182,4761,3435,2895,2190,1935,965,1010,688,595,217,184,34676,28811,20905,17770,14454,12337,9663,7003,5771,4128,3747,1923,1889,1229,1134,413,385
2024,BEN,Benin,BJ,Alibori,BJ01,Kandi,BJ0103,161262,162114,323376,32522,27989,20026,17347,15246,12460,9642,6818,5587,4060,3335,1959,1607,1081,950,309,324,32802,28259,19956,16142,14211,12484,9769,7097,5620,4792,3932,2177,1777,1307,976,496,317,65324,56248,39982,33489,29457,24944,19411,13915,11207,8852,7267,4136,3384,2388,1926,805,641
2024,BEN,Benin,BJ,Alibori,BJ01,Karimama,BJ0104,52923,53942,106865,10907,9225,6318,5132,4837,4010,3310,2437,2118,1408,1316,573,537,356,251,133,55,10951,8925,6443,5124,4899,3742,3073,2255,2204,1649,1536,909,855,586,478,264,49,21858,18150,12761,10256,9736,7752,6383,4692,4322,3057,2852,1482,1392,942,729,397,104
2024,BEN,Benin,BJ,Alibori,BJ01,Malanville,BJ0105,134086,134768,268854,26707,22673,16394,14681,12776,10406,8245,5926,5184,3421,3028,1508,1207,689,651,272,318,26767,22160,16331,13174,12017,10009,7872,5909,5453,4277,3871,1914,2070,1290,954,396,304,53474,44833,32725,27855,24793,20415,16117,11835,10637,7698,6899,3422,3277,1979,1605,668,622
2024,BEN,Benin,BJ,Alibori,BJ01,Segbana,BJ0106,70840,73952,144792,15286,12478,8802,8022,6499,5203,4089,2815,2335,1477,1418,656,702,404,352,153,149,15814,12739,9251,7441,6251,5417,4490,3137,2536,1915,1837,996,816,452,515,207,138,31100,25217,18053,15463,12750,10620,8579,5952,4871,3392,3255,1652,1518,856,867,360,287
2024,BEN,Benin,BJ,Atacora,BJ02,Boukombe,BJ0201,55037,53200,108237,10003,8369,6006,4955,4170,3498,3490,2720,2797,2651,2046,1230,1101,996,573,278,154,10518,9002,7179,5184,4141,3121,2508,1924,2044,1770,1772,1127,875,918,526,390,201,20521,17371,13185,10139,8311,6619,5998,4644,4841,4421,3818,2357,1976,1914,1099,668,355
2024,BEN,Benin,BJ,Atacora,BJ02,Kerou,BJ0202,76479,77645,154124,16639,13320,8932,7728,6950,5756,4505,3182,2599,1751,1684,820,972,510,599,197,335,16754,13350,9317,7351,6673,5896,4806,3483,2617,1894,1801,961,1056,634,588,186,278,33393,26670,18249,15079,13623,11652,9311,6665,5216,3645,3485,1781,2028,1144,1187,383,613
2024,BEN,Benin,BJ,Atacora,BJ02,Kobli,BJ0203,48397,45948,94345,9405,8365,5586,4101,4357,3221,2961,1993,2207,1632,1612,730,845,543,451,182,206,9958,8818,6398,4338,3636,2679,2237,1629,1497,1129,1147,617,647,441,437,171,169,19363,17183,11984,8439,7993,5900,5198,3622,3704,2761,2759,1347,1492,984,888,353,375
2024,BEN,Benin,BJ,Atacora,BJ02,Kouande,BJ0204,74512,74915,149427,14724,12118,8644,7551,6741,5190,4542,3325,2926,2347,2025,1286,1044,904,563,345,237,14959,12896,9783,7434,6376,5271,4255,3101,2564,2158,1822,1209,1041,863,581,395,207,29683,25014,18427,14985,13117,10461,8797,6426,5490,4505,3847,2495,2085,1767,1144,740,444
2024,BEN,Benin,BJ,Atacora,BJ02,Materi,BJ0205,76165,73413,149578,14051,13151,10400,8248,6150,4313,3938,2920,3414,2289,2555,1079,1311,778,902,376,290,14400,13638,11188,8526,6439,4031,3144,2082,2297,1677,1967,863,1050,778,756,369,208,28451,26789,21588,16774,12589,8344,7082,5002,5711,3966,4522,1942,2361,1556,1658,745,498
2024,BEN,Benin,BJ,Atacora,BJ02,Natitingou,BJ0206,69392,68096,137488,11244,9869,8776,7682,6531,5289,4554,3501,2943,2655,2072,1383,1029,894,533,267,170,11765,10043,8360,7150,6838,5381,4276,3172,2614,2363,2026,1414,876,923,512,240,143,23009,19912,17136,14832,13369,10670,8830,6673,5557,5018,4098,2797,1905,1817,1045,507,313
2024,BEN,Benin,BJ,Atacora,BJ02,Pehunco,BJ0207,52978,54051,107029,11018,8965,6290,5154,4746,3950,3283,2392,1887,1365,1298,726,628,462,392,261,161,11404,9570,6534,5155,4432,3866,3138,2325,1829,1571,1455,782,681,488,429,270,122,22422,18535,12824,10309,9178,7816,6421,4717,3716,2936,2753,1508,1309,950,821,531,283
2024,BEN,Benin,BJ,Atacora,BJ02,Tanguieta,BJ0208,50075,48191,98266,9126,8204,6218,4675,4142,3420,3389,2254,2241,1805,1518,813,920,596,415,219,120,9391,8530,6770,4879,3962,2782,2660,1786,1867,1432,1434,707,626,566,422,270,107,18517,16734,12988,9554,8104,6202,6049,4040,4108,3237,2952,1520,1546,1162,837,489,227
2024,BEN,Benin,BJ,Atacora,BJ02,Toucountouna,BJ0209,25793,24841,50634,4526,4354,3265,2374,1984,1727,1674,1248,1092,865,799,491,466,463,258,131,76,4762,4779,3438,2295,1805,1483,1249,1034,924,860,619,485,332,365,216,120,75,9288,9133,6703,4669,3789,3210,2923,2282,2016,1725,1418,976,798,828,474,251,151
2024,BEN,Benin,BJ,Atlantique,BJ03,Abomey-Calavi,BJ0301,664014,663128,1327142,107064,82338,77599,66360,68920,62055,50288,40741,30576,28704,18167,12523,6904,5212,2592,2095,1876,112994,82086,69640,62749,78778,64828,48723,38873,29290,28054,18423,12728,6844,4513,1866,1147,1592,220058,164424,147239,129109,147698,126883,99011,79614,59866,56758,36590,25251,13748,9725,4458,3242,3468
2024,BEN,Benin,BJ,Atlantique,BJ03,Allada,BJ0302,86905,83871,170776,14411,11737,10135,8051,7779,6580,5528,4952,4101,3938,3044,1679,1664,1252,933,667,454,14820,12180,10561,9011,7557,6140,5157,4373,3355,3231,2444,1397,1309,1019,656,383,278,29231,23917,20696,17062,15336,12720,10685,9325,7456,7169,5488,3076,2973,2271,1589,1050,732
2024,BEN,Benin,BJ,Atlantique,BJ03,Kpomasse,BJ0303,39000,38337,77337,6055,5320,4657,3661,2986,2641,2349,2317,2048,1787,1475,984,835,715,565,326,279,6332,5817,5253,4400,3248,2518,1890,1769,1572,1468,1264,719,717,545,420,248,157,12387,11137,9910,8061,6234,5159,4239,4086,3620,3255,2739,1703,1552,1260,985,574,436
2024,BEN,Benin,BJ,Atlantique,BJ03,Ouidah,BJ0304,166973,160477,327450,27662,21942,19210,15204,14610,13850,12126,10799,8112,7306,5198,3291,2510,2124,1251,1015,763,29285,22645,19148,14784,13631,12018,10807,9275,7708,7596,4932,2996,2042,1736,961,593,320,56947,44587,38358,29988,28241,25868,22933,20074,15820,14902,10130,6287,4552,3860,2212,1608,1083
